46,2017/2018,Paris Saint-Germain,14/03/2018,Angers,Domicile,Parc des Princes,Ligue 1 Conforama,2 - 1,Pied droit,Julian Draxler,L. Butelle,12',https://www.youtube.com/watch?v=D7FZwVM9alE,00:37
47,2017/2018,Paris Saint-Germain,14/03/2018,Angers,Domicile,Parc des Princes,Ligue 1 Conforama,2 - 1,Pied droit, Layvin Kurzawa,L. Butelle,25',https://www.youtube.com/watch?v=D7FZwVM9alE,01:19
48,2018/2019,Equipe de France,27/03/2018,Russie,Exterieur,Stade Krestovski,Matchs Amicaux,1 - 3,Pied droit,??,A. Lunev,40',https://www.youtube.com/watch?v=NM8WoWxBvu0,00:08
49,2018/2019,Equipe de France,27/03/2018,Russie,Exterieur,Stade Krestovski,Matchs Amicaux,1 - 3,Pied droit,??,A. Lunev,83',https://www.youtube.com/watch?v=NM8WoWxBvu0,02:14
50,2017/2018,Paris Saint-Germain,18/04/2018,Caen,Exterieur,Stade Michel d'Ornano,Coupe de France,1 - 3,Pied droit,Edinson Cavani,B. Samba,25',https://www.youtube.com/watch?v=EWOZ95hIm7Y,00:45
51,2017/2018,Paris Saint-Germain,18/04/2018,Caen,Exterieur,Stade Michel d'Ornano,Coupe de France,1 - 3,Pied droit,Edinson Cavani,B. Samba,81',https://www.youtube.com/watch?v=EWOZ95hIm7Y,02:27
52,2018/2019,Equipe de France,09/06/2018,États-Unis,Domicile,Groupama Stadium,Matchs Amicaux,1 - 1,Pied droit,,Z. Steffen,78',https://www.youtube.com/watch?v=667smbrPTJ4,02:10
53,CDM 2018,Equipe de France,21/06/2018,Pérou,Domicile,lekaterinbourg Arena,Coupe du Monde,1 - 0,Pied droit,,P. Gallese,34',https://www.youtube.com/watch?v=hWHNYMCjdmA,00:33
54,CDM 2018,Equipe de France,30/06/2018,Argentine,Domicile,Kazan-Arena,Coupe du Monde,4 - 3,Pied gauche,,F. Armani,64',https://www.youtube.com/watch?v=cpBABAXlxhg,03:49
55,CDM 2018,Equipe de France,30/06/2018,Argentine,Domicile,Kazan-Arena,Coupe du Monde,4 - 3,Pied gauche,,F. Armani,68',https://www.youtube.com/watch?v=cpBABAXlxhg,04:08
56,CDM 2018,Equipe de France,15/07/2018,Croatie,Domicile,Stadion Luzhniki,Coupe du Monde,4 - 2,Pied droit,,D. Subašić,65',https://www.youtube.com/watch?v=SW4KS0cRpTE,04:44
57,2018/2019,Paris Saint-Germain,18/08/2018,Guingamp,Exterieur,Stade du Roudourou,Ligue 1 Conforama,1 - 3,Pied droit,Di Maria,K. Johnsson,82',https://www.youtube.com/watch?v=1yq2ktQoB18,02:40
58,2018/2019,Paris Saint-Germain,18/08/2018,Guingamp,Exterieur,Stade du Roudourou,Ligue 1 Conforama,1 - 3,Pied droit,Neymar Jr,K. Johnsson,90',https://www.youtube.com/watch?v=1yq2ktQoB18,03:03
59,2018/2019,Paris Saint-Germain,25/08/2018,Angers,Domicile,Parc des Princes,Ligue 1 Conforama,3 - 1,Pied droit,Di Maria,L. Butelle,51',https://www.youtube.com/watch?v=s7wZT1OMbeI,02:29
60,2018/2019,Paris Saint-Germain,01/09/2018,Nîmes,Exterieur,Stade des Costières,Ligue 1 Conforama,2 - 4,Pied droit,Presnel Kimpembe,P. Bernardori,77',https://www.youtube.com/watch?v=4Xyh9Z9J6BE&feature=onebox,03:39
61,2018/2019,Equipe de France,09/09/2018,Pays-Bas,Domicile,Stade de France,Ligue des Nations,2 - 1,Pied droit,??,J. Cillessen,14',https://www.youtube.com/watch?v=XVgtYX705x0,00:13
62,2018/2019,Paris Saint-Germain,18/09/2018,Liverpool,Exterieur,Anfield,Ligue des Champions,3 - 2,Pied droit,Neymar Jr,Alisson,83',https://www.youtube.com/watch?v=GraC90NhnJE,01:05
63,2018/2019,Paris Saint-Germain,03/10/2018,Étoile rouge,Domicile,Parc des Princes,Ligue des Champions,6 - 1,Pied droit,Edinson Cavani,M. Borjan,70',https://www.youtube.com/watch?v=jZYisR50FS0,07:14
64,2018/2019,Paris Saint-Germain,07/10/2018,Lyon,Domicile,Parc des Princes,Ligue 1 Conforama,5 - 0,Pied gauche,,A. Lopes,61',https://www.youtube.com/watch?v=zDl_UwrfSI8,03:51
65,2018/2019,Paris Saint-Germain,07/10/2018,Lyon,Domicile,Parc des Princes,Ligue 1 Conforama,5 - 0,Pied droit,Marquinhos,A. Lopes,66',https://www.youtube.com/watch?v=zDl_UwrfSI8,04:22
66,2018/2019,Paris Saint-Germain,07/10/2018,Lyon,Domicile,Parc des Princes,Ligue 1 Conforama,5 - 0,Pied droit,Neymar Jr,A. Lopes,69',https://www.youtube.com/watch?v=zDl_UwrfSI8,04:43
67,2018/2019,Paris Saint-Germain,07/10/2018,Lyon,Domicile,Parc des Princes,Ligue 1 Conforama,5 - 0,Pied droit,,A. Lopes,74',https://www.youtube.com/watch?v=zDl_UwrfSI8,05:20
68,2018/2019,Equipe de France,11/10/2018,Islande,Domicile,Stade du Roudourou,Matchs Amicaux,2 - 2,Pied droit (peno),??,H. Halldórsson,90',https://www.youtube.com/watch?v=MJ6a291dLPA,04:11
69,2018/2019,Paris Saint-Germain,20/10/2018,Amiens,Domicile,Parc des Princes,Ligue 1 Conforama,5 - 0,Pied droit,Moussa Diaby,R. Gurtner,82',https://www.youtube.com/watch?v=z-qnI1xmkyk,01:59
70,2018/2019,Paris Saint-Germain,28/10/2018,Marseille,Exterieur,Stade Vélodrome,Ligue 1 Conforama,0 - 2,Pied droit,Di Maria,S. Mandanda,65',https://www.youtube.com/watch?v=0WM4cHg0KAk&feature=onebox,02:13
71,2018/2019,Paris Saint-Germain,02/11/2018,Lille,Domicile,Parc des Princes,Ligue 1 Conforama,2 - 1,Pied droit,,M. Maignan,70',https://www.youtube.com/watch?v=nevZ7I-PdqQ,02:20
72,2018/2019,Paris Saint-Germain,02/12/2018,Bordeaux,Exterieur,Stade Matmut-Atlantique,Ligue 1 Conforama,2 - 2,Pied droit,Julian Draxler,B. Costil,66',https://www.youtube.com/watch?v=xiudV_AlAWU,01:46
73,2018/2019,Paris Saint-Germain,11/12/2018,Étoile rouge,Exterieur,Stadion Rajko Mitić,Ligue des Champions,1 - 4,Pied droit,Neymar Jr,M. Borjan,90'+2,https://www.youtube.com/watch?v=0mq9LcPZ0T0,00:34
74,2018/2019,Paris Saint-Germain,22/12/2018,Nantes,Domicile,Parc des Princes,Ligue 1 Conforama,1 - 0,Pied droit,,C. Tatarusanu,68',https://www.youtube.com/watch?v=5uq9af7qRe0,02:17
75,2018/2019,Paris Saint-Germain,06/01/2019,GSI Pontivy,Exterieur,Stade du Moustoir,Coupe de France,0 - 4,Pied droit (peno),,C. Daoudou,77',https://www.youtube.com/watch?v=jKkQFoNxA1A,09:36
76,2018/2019,Paris Saint-Germain,12/01/2019,Amiens,Exterieur,Stade la Licorne,Ligue 1 Conforama,0 - 3,Pied droit,Edinson Cavani,R. Gurtner,70',https://www.youtube.com/watch?v=jdvsD3ntYUE,02:41
77,2018/2019,Paris Saint-Germain,19/01/2019,Guingamp,Domicile,Parc des Princes,Ligue 1 Conforama,9 - 0,Pied droit,Neymar,M. Caillard,37',https://www.youtube.com/watch?v=MZCZJ5pknV0,01:20
78,2018/2019,Paris Saint-Germain,19/01/2019,Guingamp,Domicile,Parc des Princes,Ligue 1 Conforama,9 - 0,Pied droit,Edinson Cavani,M. Caillard,45',https://www.youtube.com/watch?v=MZCZJ5pknV0,01:35
79,2018/2019,Paris Saint-Germain,19/01/2019,Guingamp,Domicile,Parc des Princes,Ligue 1 Conforama,9 - 0,Pied gauche,Edinson Cavani,M. Caillard,80',https://www.youtube.com/watch?v=MZCZJ5pknV0,03:37
